year,industry,kind_of_business,average_sales
2010,Automotive,Automobile and other motor vehicle dealers,55414
2010,Automotive,Automobile dealers,51765
2010,Automotive,Motor vehicle and parts dealers,61909
2010,Automotive,New car dealers,45789
2010,Fashion & Accessories,Clothing and clothing access. stores,17773
2010,Fashion & Accessories,Clothing stores,13189
2010,Food & Beverage,Food and beverage stores,48377
2010,Food & Beverage,Grocery stores,43395
2010,Food & Beverage,Supermarkets and other grocery (except convenience) stores,41500
2010,Food & Beverage,Warehouse clubs and superstores,30666
2010,Fuel & Gasoline,Gasoline stations,37362
2010,General Merchandise,Department stores,15396
2010,General Merchandise,General merchandise stores,50313
2010,General Merchandise,Other general merchandise stores,34916
2010,Health & Personal Care,Health and personal care stores,21702
2010,Health & Personal Care,Pharmacies and drug stores,18519
2010,Home Goods & Building Supplies,Building mat. and garden equip. and supplies dealers,21713
2010,Home Goods & Building Supplies,Building mat. and supplies dealers,18809
2010,Home Goods & Electronics,Electronic shopping and mail-order houses,21957
2010,Home Goods & Electronics,"Furniture, home furn, electronics, and appliance stores",15399
2010,Miscellaneous,Nonstore retailers,28413
2010,Restaurants & Bars,Food services and drinking places,38910
2010,Restaurants & Bars,Full service restaurants,16558
2010,Restaurants & Bars,Limited service eating places,16938
2010,Restaurants & Bars,Restaurants and other eating places,33496
2011,Automotive,Automobile and other motor vehicle dealers,60831
2011,Automotive,Automobile dealers,57042
2011,Automotive,Motor vehicle and parts dealers,67744
2011,Automotive,New car dealers,50732
2011,Fashion & Accessories,Clothing and clothing access. stores,19050
2011,Fashion & Accessories,Clothing stores,14007
2011,Food & Beverage,Food and beverage stores,50761
2011,Food & Beverage,Grocery stores,45623
2011,Food & Beverage,Supermarkets and other grocery (except convenience) stores,43614
2011,Food & Beverage,Warehouse clubs and superstores,32195
2011,Fuel & Gasoline,Gasoline stations,44454
2011,General Merchandise,Department stores,15280
2011,General Merchandise,General merchandise stores,52063
2011,General Merchandise,Other general merchandise stores,36783
2011,Health & Personal Care,Health and personal care stores,22634
2011,Health & Personal Care,Pharmacies and drug stores,19270
2011,Home Goods & Building Supplies,Building mat. and garden equip. and supplies dealers,22456
2011,Home Goods & Building Supplies,Building mat. and supplies dealers,19387
2011,Home Goods & Electronics,Electronic shopping and mail-order houses,24558
2011,Home Goods & Electronics,"Furniture, home furn, electronics, and appliance stores",15797
2011,Miscellaneous,Nonstore retailers,31362
2011,Restaurants & Bars,Food services and drinking places,41279
2011,Restaurants & Bars,Full service restaurants,17823
2011,Restaurants & Bars,Limited service eating places,17854
2011,Restaurants & Bars,Restaurants and other eating places,35677
2012,Automotive,Automobile and other motor vehicle dealers,66863
2012,Automotive,Automobile dealers,62731
2012,Automotive,Motor vehicle and parts dealers,73874
2012,Automotive,New car dealers,56045
2012,Fashion & Accessories,Clothing and clothing access. stores,19957
2012,Fashion & Accessories,Clothing stores,14677
2012,Food & Beverage,Food and beverage stores,52350
2012,Food & Beverage,Grocery stores,46970
2012,Food & Beverage,Supermarkets and other grocery (except convenience) stores,44931
2012,Food & Beverage,Warehouse clubs and superstores,33859
2012,Fuel & Gasoline,Gasoline stations,46284
2012,General Merchandise,Department stores,14776
2012,General Merchandise,General merchandise stores,53526
2012,General Merchandise,Other general merchandise stores,38750
2012,Health & Personal Care,Health and personal care stores,22833
2012,Health & Personal Care,Pharmacies and drug stores,19162
2012,Home Goods & Building Supplies,Building mat. and garden equip. and supplies dealers,23461
2012,Home Goods & Building Supplies,Building mat. and supplies dealers,20181
2012,Home Goods & Electronics,Electronic shopping and mail-order houses,27387
2012,Home Goods & Electronics,"Furniture, home furn, electronics, and appliance stores",16285
2012,Miscellaneous,Nonstore retailers,34014
2012,Restaurants & Bars,Food services and drinking places,43680
2012,Restaurants & Bars,Full service restaurants,18934
2012,Restaurants & Bars,Limited service eating places,18829
2012,Restaurants & Bars,Restaurants and other eating places,37764
2013,Automotive,Automobile and other motor vehicle dealers,73044
2013,Automotive,Automobile dealers,68482
2013,Automotive,Motor vehicle and parts dealers,80171
2013,Automotive,New car dealers,61423
2013,Fashion & Accessories,Clothing and clothing access. stores,20430
2013,Fashion & Accessories,Clothing stores,14930
2013,Food & Beverage,Food and beverage stores,53459
2013,Food & Beverage,Grocery stores,47956
2013,Food & Beverage,Supermarkets and other grocery (except convenience) stores,45832
2013,Food & Beverage,Warehouse clubs and superstores,35085
2013,Fuel & Gasoline,Gasoline stations,46142
2013,General Merchandise,Department stores,14213
2013,General Merchandise,General merchandise stores,54464
2013,General Merchandise,Other general merchandise stores,40251
2013,Health & Personal Care,Health and personal care stores,23295
2013,Health & Personal Care,Pharmacies and drug stores,19469
2013,Home Goods & Building Supplies,Building mat. and garden equip. and supplies dealers,24964
2013,Home Goods & Building Supplies,Building mat. and supplies dealers,21477
2013,Home Goods & Electronics,Electronic shopping and mail-order houses,28846
2013,Home Goods & Electronics,"Furniture, home furn, electronics, and appliance stores",16605
2013,Miscellaneous,Nonstore retailers,35831
2013,Restaurants & Bars,Food services and drinking places,45292
2013,Restaurants & Bars,Full service restaurants,19738
2013,Restaurants & Bars,Limited service eating places,19569
2013,Restaurants & Bars,Restaurants and other eating places,39308
2014,Automotive,Automobile and other motor vehicle dealers,78327
2014,Automotive,Automobile dealers,73415
2014,Automotive,Motor vehicle and parts dealers,85561
2014,Automotive,New car dealers,65740
2014,Fashion & Accessories,Clothing and clothing access. stores,20944
2014,Fashion & Accessories,Clothing stores,15290
2014,Food & Beverage,Food and beverage stores,55872
2014,Food & Beverage,Grocery stores,50124
2014,Food & Beverage,Supermarkets and other grocery (except convenience) stores,47972
2014,Food & Beverage,Warehouse clubs and superstores,36395
2014,Fuel & Gasoline,Gasoline stations,45580
2014,General Merchandise,Department stores,14064
2014,General Merchandise,General merchandise stores,55884
2014,General Merchandise,Other general merchandise stores,41819
2014,Health & Personal Care,Health and personal care stores,24547
2014,Health & Personal Care,Pharmacies and drug stores,20553
2014,Home Goods & Building Supplies,Building mat. and garden equip. and supplies dealers,26127
2014,Home Goods & Building Supplies,Building mat. and supplies dealers,22512
2014,Home Goods & Electronics,Electronic shopping and mail-order houses,31407
2014,Home Goods & Electronics,"Furniture, home furn, electronics, and appliance stores",16949
2014,Miscellaneous,Nonstore retailers,38680
2014,Restaurants & Bars,Food services and drinking places,48054
2014,Restaurants & Bars,Full service restaurants,21286
2014,Restaurants & Bars,Limited service eating places,20592
2014,Restaurants & Bars,Restaurants and other eating places,41879
2015,Automotive,Automobile and other motor vehicle dealers,84385
2015,Automotive,Automobile dealers,79103
2015,Automotive,Motor vehicle and parts dealers,91960
2015,Automotive,New car dealers,70680
2015,Fashion & Accessories,Clothing and clothing access. stores,21439
2015,Fashion & Accessories,Clothing stores,15645
2015,Food & Beverage,Food and beverage stores,57281
2015,Food & Beverage,Grocery stores,51340
2015,Food & Beverage,Supermarkets and other grocery (except convenience) stores,49226
2015,Food & Beverage,Warehouse clubs and superstores,37254
2015,Fuel & Gasoline,Gasoline stations,37966
2015,General Merchandise,Department stores,13756
2015,General Merchandise,General merchandise stores,56677
2015,General Merchandise,Other general merchandise stores,42921
2015,Health & Personal Care,Health and personal care stores,25657
2015,Health & Personal Care,Pharmacies and drug stores,21446
2015,Home Goods & Building Supplies,Building mat. and garden equip. and supplies dealers,26998
2015,Home Goods & Building Supplies,Building mat. and supplies dealers,23439
2015,Home Goods & Electronics,Electronic shopping and mail-order houses,34913
2015,Home Goods & Electronics,"Furniture, home furn, electronics, and appliance stores",17338
2015,Miscellaneous,Nonstore retailers,41527
2015,Restaurants & Bars,Food services and drinking places,52014
2015,Restaurants & Bars,Full service restaurants,23049
2015,Restaurants & Bars,Limited service eating places,22398
2015,Restaurants & Bars,Restaurants and other eating places,45448
2016,Automotive,Automobile and other motor vehicle dealers,88255
2016,Automotive,Automobile dealers,82651
2016,Automotive,Motor vehicle and parts dealers,95976
2016,Automotive,New car dealers,73621
2016,Fashion & Accessories,Clothing and clothing access. stores,21790
2016,Fashion & Accessories,Clothing stores,15884
2016,Food & Beverage,Food and beverage stores,58501
2016,Food & Beverage,Grocery stores,52322
2016,Food & Beverage,Supermarkets and other grocery (except convenience) stores,50078
2016,Food & Beverage,Warehouse clubs and superstores,38098
2016,Fuel & Gasoline,Gasoline stations,36330
2016,General Merchandise,Department stores,12850
2016,General Merchandise,General merchandise stores,56891
2016,General Merchandise,Other general merchandise stores,44041
2016,Health & Personal Care,Health and personal care stores,26577
2016,Health & Personal Care,Pharmacies and drug stores,22128
2016,Home Goods & Building Supplies,Building mat. and garden equip. and supplies dealers,28141
