year,industry,growth_rate
2010,Automotive,800
2010,Automotive,1100
2010,Automotive,800
2010,Automotive,800
2010,Automotive,900
2010,Automotive,800
2010,Automotive,800
2010,Automotive,700
2010,Automotive,800
2010,Automotive,700
2010,Automotive,800
2011,Automotive,900
2011,Automotive,700
2011,Automotive,900
2011,Automotive,700
2011,Automotive,900
2011,Automotive,1100
2011,Automotive,800
2011,Automotive,900
2011,Automotive,900
2011,Automotive,800
2011,Automotive,900
2011,Automotive,700
2012,Automotive,800
2012,Automotive,900
2012,Automotive,800
2012,Automotive,900
2012,Automotive,800
2012,Automotive,1000
2012,Automotive,1100
2012,Automotive,900
2012,Automotive,1000
2012,Automotive,900
2012,Automotive,900
2012,Automotive,1000
2013,Automotive,900
2013,Automotive,1000
2013,Automotive,1000
2013,Automotive,800
2013,Automotive,800
2013,Automotive,1000
2013,Automotive,1100
2013,Automotive,1000
2013,Automotive,1100
2013,Automotive,1000
2013,Automotive,1100
2013,Automotive,1000
2014,Automotive,900
2014,Automotive,1100
2014,Automotive,1200
2014,Automotive,1000
2014,Automotive,1000
2014,Automotive,800
2014,Automotive,1000
2014,Automotive,1200
2014,Automotive,1000
2014,Automotive,1100
2014,Automotive,1000
2014,Automotive,1100
2015,Automotive,1200
2015,Automotive,1100
2015,Automotive,1000
2015,Automotive,1000
2015,Automotive,900
2015,Automotive,1100
2015,Automotive,900
2015,Automotive,1100
2015,Automotive,1300
2015,Automotive,1100
2015,Automotive,1100
2015,Automotive,1100
2016,Automotive,1100
2016,Automotive,1100
2016,Automotive,1200
2016,Automotive,1000
2016,Automotive,1100
2016,Automotive,1000
2016,Automotive,1200
2016,Automotive,900
2016,Automotive,1200
2016,Automotive,1200
2016,Automotive,1000
2016,Automotive,1100
2017,Automotive,1100
2017,Automotive,1300
2017,Automotive,1100
2017,Automotive,1100
2017,Automotive,1200
2017,Automotive,1100
2017,Automotive,1100
2017,Automotive,1000
2017,Automotive,900
2017,Automotive,1100
2017,Automotive,1400
2017,Automotive,1000
2018,Automotive,1100
2018,Automotive,1100
2018,Automotive,1400
2018,Automotive,1100
2018,Automotive,1100
2018,Automotive,1200
2018,Automotive,1000
2018,Automotive,1100
2018,Automotive,900
2018,Automotive,1100
2018,Automotive,1400
2018,Automotive,1000
2019,Automotive,1200
2019,Automotive,1000
2019,Automotive,1100
2019,Automotive,1200
2019,Automotive,1200
2019,Automotive,1100
2019,Automotive,1200
2019,Automotive,1200
2019,Automotive,1000
2019,Automotive,1000
2019,Automotive,1100
2019,Automotive,1400
2020,Automotive,1100
2020,Automotive,1100
2020,Automotive,1000
2020,Automotive,1300
2020,Automotive,900
2020,Automotive,800
2020,Automotive,1300
2020,Automotive,1200
2020,Automotive,1100
2020,Automotive,1100
2020,Automotive,900
2020,Automotive,1100
2021,Automotive,1500
2021,Automotive,1100
2021,Automotive,1100
2021,Automotive,1000
2021,Automotive,900
2021,Automotive,1700
2021,Automotive,1200
2021,Automotive,1200
2021,Automotive,1300
2021,Automotive,1200
2021,Automotive,1100
2021,Automotive,900
2022,Automotive,1400
2022,Automotive,1000
2022,Automotive,1200
2022,Automotive,1000
2022,Automotive,1000
2022,Automotive,900
2022,Automotive,1100
2022,Automotive,1400
2022,Automotive,1100
2022,Automotive,1100
2022,Automotive,1100
2022,Automotive,1000
2010,Fashion & Accessories,400
2010,Fashion & Accessories,100
2010,Fashion & Accessories,100
2010,Fashion & Accessories,700
2010,Fashion & Accessories,400
2010,Fashion & Accessories,100
2010,Fashion & Accessories,100
2010,Fashion & Accessories,500
2010,Fashion & Accessories,300
2010,Fashion & Accessories,100
2010,Fashion & Accessories,1000
2010,Fashion & Accessories,400
2010,Fashion & Accessories,100
2010,Fashion & Accessories,100
2010,Fashion & Accessories,700
2010,Fashion & Accessories,400
2010,Fashion & Accessories,100
2010,Fashion & Accessories,100
2010,Fashion & Accessories,900
2010,Fashion & Accessories,400
2010,Fashion & Accessories,100
2010,Fashion & Accessories,100
2010,Fashion & Accessories,800
2010,Fashion & Accessories,400
2010,Fashion & Accessories,100
2010,Fashion & Accessories,200
2010,Fashion & Accessories,700
2010,Fashion & Accessories,400
2010,Fashion & Accessories,100
2010,Fashion & Accessories,100
2010,Fashion & Accessories,800
2010,Fashion & Accessories,400
2010,Fashion & Accessories,100
2010,Fashion & Accessories,100
2010,Fashion & Accessories,600
2010,Fashion & Accessories,400
2010,Fashion & Accessories,100
2010,Fashion & Accessories,100
2010,Fashion & Accessories,1000
2010,Fashion & Accessories,400
2010,Fashion & Accessories,100
2010,Fashion & Accessories,100
2010,Fashion & Accessories,1000
2010,Fashion & Accessories,300
2010,Fashion & Accessories,100
2010,Fashion & Accessories,100
2011,Fashion & Accessories,300
2011,Fashion & Accessories,400
2011,Fashion & Accessories,100
2011,Fashion & Accessories,100
2011,Fashion & Accessories,1100
2011,Fashion & Accessories,300
2011,Fashion & Accessories,100
2011,Fashion & Accessories,100
2011,Fashion & Accessories,200
2011,Fashion & Accessories,300
2011,Fashion & Accessories,100
2011,Fashion & Accessories,100
2011,Fashion & Accessories,600
2011,Fashion & Accessories,400
2011,Fashion & Accessories,100
2011,Fashion & Accessories,100
2011,Fashion & Accessories,500
2011,Fashion & Accessories,300
2011,Fashion & Accessories,100
2011,Fashion & Accessories,1000
2011,Fashion & Accessories,400
