kind_of_business,average_sale
Building mat. and supplies dealers,25572
Full service restaurants,22127
Other general merchandise stores,45075
Electronic shopping and mail-order houses,47126
Miscellaneous store retailers,10559
Restaurants and other eating places,48345
Clothing and clothing access. stores,21172
Grocery stores,54251
Automobile dealers,79418
Automobile and other motor vehicle dealers,85325
Pharmacies and drug stores,22227
Health and personal care stores,26596
New car dealers,70388
Food and beverage stores,60583
"Furniture, home furn, electronics, and appliance stores",17146
Nonstore retailers,54563
Gasoline stations,43663
Warehouse clubs and superstores,38961
Building mat. and garden equip. and supplies dealers,29400
Department stores,12864
Motor vehicle and parts dealers,93148
Supermarkets and other grocery (except convenience) stores,51873
General merchandise stores,57939
Limited service eating places,24400
Clothing stores,15233
Food services and drinking places,55355
